# framepath,image_u,image_v,width,height,confidence,classId,className,frameId
02000.png,548,436,44,30,0.871582,2,car,2000
02000.png,595,425,22,16,0.752441,2,car,2000
02000.png,1133.5,441,91,43,0.714355,2,car,2000
02000.png,1196,419,52,26,0.677734,2,car,2000
02000.png,620.5,430,27,22,0.638672,2,car,2000
02000.png,1085,419,68,29,0.594238,2,car,2000
02000.png,943.5,427,81,42,0.761719,5,bus,2000
02000.png,399.5,487,195,174,0.822754,7,truck,2000
02001.png,548,436,44,30,0.868164,2,car,2001
02001.png,595,425,22,16,0.750977,2,car,2001
02001.png,1136,441,92,43,0.686523,2,car,2001
02001.png,1201,419,50,25,0.67041,2,car,2001
02001.png,620.5,430,27,22,0.633301,2,car,2001
02001.png,944,427,82,42,0.746582,5,bus,2001
02001.png,399,485,196,172,0.824707,7,truck,2001
02002.png,548,437,44,30,0.876953,2,car,2002
02002.png,1138.5,442,93,43,0.734863,2,car,2002
02002.png,595.5,426,21,16,0.705078,2,car,2002
02002.png,1203,421,52,27,0.668457,2,car,2002
02002.png,620.5,430,27,22,0.593262,2,car,2002
02002.png,946.5,429,81,43,0.82373,5,bus,2002
02002.png,399,487,198,174,0.827637,7,truck,2002
02003.png,549,437,44,30,0.882324,2,car,2003
02003.png,1140,442,92,44,0.761719,2,car,2003
02003.png,595.5,425,21,16,0.70166,2,car,2003
02003.png,1218.5,419,31,25,0.69873,2,car,2003
02003.png,1266,406,26,17,0.681152,2,car,2003
02003.png,620.5,430,27,22,0.597168,2,car,2003
02003.png,948.5,427,81,42,0.768555,5,bus,2003
02003.png,399.5,488,197,175,0.824707,7,truck,2003
02004.png,549,437,44,30,0.879395,2,car,2004
02004.png,595.5,426,21,16,0.723633,2,car,2004
02004.png,1268.5,406,23,17,0.663574,2,car,2004
02004.png,1216,419,42,25,0.628418,2,car,2004
02004.png,620.5,430,27,22,0.619141,2,car,2004
02004.png,1143,442,96,44,0.504395,2,car,2004
02004.png,951,428,84,42,0.735352,5,bus,2004
02004.png,399.5,488,197,175,0.821777,7,truck,2004
02005.png,548.5,437,45,30,0.870605,2,car,2005
02005.png,595.5,426,21,16,0.720703,2,car,2005
02005.png,620.5,430,27,22,0.654297,2,car,2005
02005.png,1223.5,419,35,25,0.641113,2,car,2005
02005.png,1270,406,20,16,0.63623,2,car,2005
02005.png,1145.5,444,97,45,0.591797,2,car,2005
02005.png,952,428,82,43,0.800293,5,bus,2005
02005.png,399,488,198,176,0.834961,7,truck,2005
02005.png,1098.5,421,69,31,0.629883,7,truck,2005
02006.png,1014,423,10,19,0.525391,0,person,2006
02006.png,549,438,44,30,0.880371,2,car,2006
02006.png,1146,443,92,44,0.833008,2,car,2006
02006.png,595.5,426,21,16,0.760742,2,car,2006
02006.png,621,431,26,22,0.709961,2,car,2006
02006.png,1225,419,42,26,0.635742,2,car,2006
02006.png,1271,406,18,15,0.62207,2,car,2006
02006.png,954,429,82,44,0.658203,5,bus,2006
02006.png,399.5,487,197,174,0.805664,7,truck,2006
02006.png,1101,421,70,32,0.559082,7,truck,2006
02007.png,549.5,439,43,31,0.875488,2,car,2007
02007.png,1150.5,443,93,44,0.84375,2,car,2007
02007.png,595,426,22,16,0.77002,2,car,2007
02007.png,621,431,26,22,0.746094,2,car,2007
02007.png,1223.5,420,53,25,0.61377,2,car,2007
02007.png,1271,407,14,13,0.508789,2,car,2007
02007.png,399.5,489,197,176,0.82959,7,truck,2007
02007.png,1106,421,68,31,0.515137,7,truck,2007
02008.png,549.5,439,43,31,0.877441,2,car,2008
02008.png,1151.5,443,95,44,0.873047,2,car,2008
02008.png,595.5,426,21,16,0.787598,2,car,2008
02008.png,621,431,26,22,0.736816,2,car,2008
02008.png,1238,419,34,24,0.591309,2,car,2008
02008.png,398.5,489,199,175,0.807617,7,truck,2008
02008.png,1111.5,421,61,31,0.574707,7,truck,2008
02009.png,1151.5,444,91,44,0.882812,2,car,2009
02009.png,549,439,44,31,0.872559,2,car,2009
02009.png,596.5,427,21,16,0.751953,2,car,2009
02009.png,1231.5,424,55,29,0.713379,2,car,2009
02009.png,621,432,26,22,0.701172,2,car,2009
02009.png,398.5,488,199,174,0.813477,7,truck,2009
02010.png,549,438,44,30,0.869141,2,car,2010
02010.png,1156,444,96,45,0.807617,2,car,2010
02010.png,596.5,426,21,16,0.696777,2,car,2010
02010.png,621,431,26,22,0.681152,2,car,2010
02010.png,1236.5,425,55,31,0.649902,2,car,2010
02010.png,398.5,493,199,180,0.783203,7,truck,2010
02011.png,1028.5,425,9,19,0.514648,0,person,2011
02011.png,549,439,44,30,0.879395,2,car,2011
02011.png,1158.5,445,97,45,0.772461,2,car,2011
02011.png,596.5,427,21,15,0.731934,2,car,2011
02011.png,621.5,432,27,22,0.679688,2,car,2011
02011.png,656.5,427,17,9,0.528809,2,car,2011
02011.png,398.5,494,199,180,0.77832,7,truck,2011
02011.png,1116.5,422,69,32,0.644043,7,truck,2011
02012.png,549,438,44,30,0.89209,2,car,2012
02012.png,1163.5,445,91,45,0.821289,2,car,2012
02012.png,596.5,427,21,15,0.79834,2,car,2012
02012.png,621,432,26,22,0.693359,2,car,2012
02012.png,656,425,18,8,0.544434,2,car,2012
02012.png,398.5,491,199,177,0.760254,7,truck,2012
02013.png,549.5,438,45,30,0.891113,2,car,2013
02013.png,596.5,427,21,15,0.775879,2,car,2013
02013.png,1171.5,445,79,45,0.768066,2,car,2013
02013.png,621,432,26,22,0.678711,2,car,2013
02013.png,656,425,18,8,0.568848,2,car,2013
02013.png,398.5,489,199,175,0.763672,7,truck,2013
02013.png,1123.5,423,71,33,0.534668,7,truck,2013
02014.png,549.5,440,45,31,0.902344,2,car,2014
02014.png,596.5,427,21,15,0.780273,2,car,2014
02014.png,621.5,432,27,22,0.688965,2,car,2014
02014.png,1166.5,446,99,46,0.595703,2,car,2014
02014.png,398.5,489,199,175,0.768066,7,truck,2014
02015.png,550.5,439,45,30,0.884766,2,car,2015
02015.png,596.5,427,21,15,0.747559,2,car,2015
02015.png,621,432,26,22,0.709473,2,car,2015
02015.png,976.5,430,93,46,0.683105,5,bus,2015
02015.png,398,489,200,175,0.757324,7,truck,2015
02015.png,1168,446,98,45,0.507324,7,truck,2015
02016.png,550.5,439,45,30,0.88623,2,car,2016
02016.png,596.5,427,21,16,0.731445,2,car,2016
02016.png,621,432,26,22,0.694824,2,car,2016
02016.png,977,431,92,47,0.709961,5,bus,2016
02016.png,398.5,489,201,176,0.770996,7,truck,2016
02016.png,1171,446,98,45,0.583984,7,truck,2016
02017.png,550.5,439,45,30,0.893066,2,car,2017
02017.png,597.5,427,21,15,0.783203,2,car,2017
02017.png,622,433,26,22,0.710449,2,car,2017
02017.png,1173,446,98,46,0.683594,2,car,2017
02017.png,1250.5,422,21,21,0.617188,2,car,2017
02017.png,982,432,96,47,0.603516,5,bus,2017
02017.png,398,489,200,176,0.773926,7,truck,2017
02017.png,1128.5,423,59,32,0.513184,7,truck,2017
02018.png,550,438,44,30,0.891602,2,car,2018
02018.png,597.5,427,21,16,0.77832,2,car,2018
02018.png,1176,445,98,45,0.753418,2,car,2018
02018.png,622.5,432,25,22,0.700195,2,car,2018
02018.png,398.5,489,201,176,0.818848,7,truck,2018
02018.png,1136,423,64,33,0.53418,7,truck,2018
02019.png,550,438,44,30,0.895508,2,car,2019
02019.png,597.5,427,21,15,0.798828,2,car,2019
02019.png,1178.5,446,99,46,0.726562,2,car,2019
02019.png,622,432,26,22,0.697754,2,car,2019
02019.png,1260.5,422,23,19,0.603027,2,car,2019
02019.png,398,489,200,176,0.805176,7,truck,2019
02019.png,1141,423,72,34,0.577637,7,truck,2019
02020.png,550,438,44,30,0.896484,2,car,2020
02020.png,1178,446,94,46,0.845703,2,car,2020
02020.png,597.5,427,21,16,0.775391,2,car,2020
02020.png,623,432,26,22,0.71875,2,car,2020
02020.png,1266,421,26,22,0.70752,2,car,2020
02020.png,658,425,16,8,0.533203,2,car,2020
02020.png,398,488,200,175,0.820312,7,truck,2020
02020.png,1146,422,74,34,0.751953,7,truck,2020
02021.png,550,438,44,30,0.896973,2,car,2021
02021.png,598.5,427,21,16,0.753418,2,car,2021
02021.png,1183,446,100,46,0.728516,2,car,2021
02021.png,1268.5,421,21,20,0.717285,2,car,2021
02021.png,623,432,26,22,0.709473,2,car,2021
02021.png,658.5,425,17,8,0.55127,2,car,2021
02021.png,986.5,431,95,46,0.609375,5,bus,2021
02021.png,398.5,488,201,176,0.814941,7,truck,2021
02021.png,1150.5,422,73,34,0.698242,7,truck,2021
02022.png,550.5,438,45,30,0.896484,2,car,2022
02022.png,1178.5,445,85,46,0.782715,2,car,2022
02022.png,598,426,20,15,0.752441,2,car,2022
02022.png,623,432,26,22,0.728027,2,car,2022
02022.png,658.5,425,17,8,0.580078,2,car,2022
02022.png,992,431,100,47,0.643066,5,bus,2022
02022.png,398.5,488,201,175,0.80957,7,truck,2022
02022.png,1153.5,422,75,34,0.714844,7,truck,2022
02023.png,550,438,46,30,0.891113,2,car,2023
02023.png,1186,445,96,46,0.794922,2,car,2023
02023.png,598.5,426,21,15,0.722656,2,car,2023
02023.png,623.5,432,25,21,0.612793,2,car,2023
02023.png,640,720,1280,224,0.576172,2,car,2023
02023.png,996.5,430,105,46,0.78418,5,bus,2023
02023.png,1156,422,74,34,0.791504,7,truck,2023
02023.png,398,487,200,174,0.775879,7,truck,2023
02024.png,551,438,46,30,0.890625,2,car,2024
02024.png,598.5,426,21,15,0.711426,2,car,2024
02024.png,1191,446,100,47,0.651855,2,car,2024
02024.png,623.5,432,25,21,0.593262,2,car,2024
02024.png,997,431,112,48,0.833008,5,bus,2024
02024.png,398,488,200,175,0.799805,7,truck,2024
02024.png,1163,421,72,34,0.669434,7,truck,2024
02025.png,551,437,46,30,0.893555,2,car,2025
02025.png,598,426,20,15,0.738281,2,car,2025
02025.png,1193,446,102,47,0.719727,2,car,2025
02025.png,623.5,432,25,21,0.604492,2,car,2025
02025.png,1000,430,106,48,0.849609,5,bus,2025
02025.png,398,486,200,174,0.804199,7,truck,2025
02025.png,1165.5,422,77,35,0.65625,7,truck,2025
02026.png,551,438,46,30,0.88916,2,car,2026
02026.png,598.5,426,21,15,0.758301,2,car,2026
02026.png,623.5,431,25,20,0.578125,2,car,2026
02026.png,1196,445,104,47,0.525391,2,car,2026
02026.png,640,719,1280,312,0.508301,2,car,2026
02026.png,1001,430,110,48,0.84375,5,bus,2026
02026.png,398,486,200,174,0.793945,7,truck,2026
02026.png,1168.5,420,73,34,0.584961,7,truck,2026
02026.png,1196,445,102,47,0.538574,7,truck,2026
02027.png,551,437,46,30,0.891602,2,car,2027
02027.png,598,426,20,15,0.751953,2,car,2027
02027.png,1198,445,102,47,0.61377,2,car,2027
02027.png,623.5,431,25,20,0.571777,2,car,2027
02027.png,640,719,1280,311,0.501953,2,car,2027
02027.png,1003,431,112,49,0.849609,5,bus,2027
02027.png,398.5,485,199,172,0.825195,7,truck,2027
02028.png,551.5,437,45,30,0.88916,2,car,2028
02028.png,599.5,425,21,16,0.741699,2,car,2028
02028.png,624,430,26,22,0.570801,2,car,2028
02028.png,640,719,1278,185,0.570312,2,car,2028
02028.png,1208.5,445,89,47,0.501953,2,car,2028
02028.png,1004.5,431,113,49,0.847168,5,bus,2028
02028.png,398,485,198,173,0.823242,7,truck,2028
02029.png,551.5,437,45,30,0.89502,2,car,2029
02029.png,599.5,426,21,15,0.746094,2,car,2029
02029.png,624.5,430,27,22,0.621094,2,car,2029
02029.png,639,719,1276,230,0.614258,2,car,2029
02029.png,1008.5,431,113,49,0.884277,5,bus,2029
02029.png,398,486,198,173,0.821289,7,truck,2029
02029.png,1203,444,108,47,0.565918,7,truck,2029
02030.png,551.5,437,45,30,0.895508,2,car,2030
02030.png,599.5,425,21,16,0.745605,2,car,2030
02030.png,624.5,430,27,22,0.561523,2,car,2030
02030.png,660,424,18,10,0.508301,2,car,2030
02030.png,1011.5,430,115,50,0.850098,5,bus,2030
02030.png,398,484,198,172,0.849609,7,truck,2030
02031.png,551.5,437,45,30,0.854004,2,car,2031
02031.png,599,425,20,16,0.689453,2,car,2031
02031.png,1208.5,443,105,45,0.666504,2,car,2031
02031.png,639.5,719,1273,226,0.589355,2,car,2031
02031.png,624,430,26,22,0.571777,2,car,2031
02031.png,1013,430,116,50,0.888184,5,bus,2031
02031.png,398.5,489,201,178,0.807617,7,truck,2031
02031.png,1173,421,52,35,0.621582,7,truck,2031
02032.png,551,437,46,30,0.851562,2,car,2032
02032.png,1211.5,441,105,44,0.731934,2,car,2032
02032.png,599,425,20,16,0.648926,2,car,2032
02032.png,639,719,1278,235,0.589355,2,car,2032
02032.png,624,430,26,22,0.557617,2,car,2032
02032.png,1016.5,430,117,50,0.862305,5,bus,2032
02032.png,398.5,490,201,179,0.814453,7,truck,2032
02032.png,1186,420,68,36,0.617676,7,truck,2032
02033.png,551,437,46,30,0.859375,2,car,2033
02033.png,599,425,20,16,0.709473,2,car,2033
02033.png,1221.5,441,117,44,0.660645,2,car,2033
02033.png,640,720,1280,233,0.546387,2,car,2033
02033.png,1018.5,429,117,50,0.867188,5,bus,2033
02033.png,398,486,198,174,0.817871,7,truck,2033
02033.png,1193.5,420,79,36,0.543457,7,truck,2033
02034.png,551,437,46,30,0.85791,2,car,2034
02034.png,600,425,20,16,0.713379,2,car,2034
02034.png,640,719,1280,240,0.662598,2,car,2034
02034.png,624.5,430,27,22,0.602051,2,car,2034
02034.png,1021.5,429,121,50,0.880859,5,bus,2034
02034.png,399.5,485,199,173,0.808594,7,truck,2034
02034.png,1195,420,72,37,0.669434,7,truck,2034
02034.png,1216,443,102,46,0.538574,7,truck,2034
02035.png,551,437,46,30,0.866699,2,car,2035
02035.png,600,425,20,16,0.701172,2,car,2035
02035.png,1220.5,444,107,47,0.602051,2,car,2035
02035.png,640,719,1280,235,0.601562,2,car,2035
02035.png,624.5,430,27,22,0.56543,2,car,2035
02035.png,1025.5,431,121,52,0.86377,5,bus,2035
02035.png,399.5,486,199,174,0.835938,7,truck,2035
02035.png,1198.5,420,75,37,0.658203,7,truck,2035
02036.png,551,437,46,30,0.870117,2,car,2036
02036.png,600,425,20,15,0.698242,2,car,2036
02036.png,625.5,430,27,22,0.578613,2,car,2036
02036.png,640,719,1280,249,0.526367,2,car,2036
02036.png,661,424,18,10,0.51416,2,car,2036
02036.png,1026.5,431,123,53,0.895996,5,bus,2036
02036.png,399.5,488,199,175,0.83252,7,truck,2036
02036.png,1203,418,76,36,0.57666,7,truck,2036
02037.png,552,437,44,30,0.871094,2,car,2037
02037.png,600,425,20,16,0.641113,2,car,2037
02037.png,625,430,26,22,0.517578,2,car,2037
02037.png,1031.5,432,121,53,0.883789,5,bus,2037
02037.png,399.5,488,199,175,0.833496,7,truck,2037
02037.png,1208.5,418,77,36,0.544434,7,truck,2037
02038.png,552,437,44,30,0.878906,2,car,2038
02038.png,600,425,20,16,0.700195,2,car,2038
02038.png,1228,443,104,48,0.585449,2,car,2038
02038.png,625.5,430,25,20,0.56543,2,car,2038
02038.png,1036.5,431,125,53,0.874023,5,bus,2038
02038.png,399,487,200,175,0.825684,7,truck,2038
02038.png,1213.5,415,75,34,0.567871,7,truck,2038
02039.png,551.5,437,45,30,0.860352,2,car,2039
02039.png,600,425,20,15,0.697754,2,car,2039
02039.png,1228,442,102,46,0.683594,2,car,2039
02039.png,625.5,430,25,16,0.604492,2,car,2039
02039.png,640,719,1280,227,0.604492,2,car,2039
02039.png,1041,430,126,54,0.877441,5,bus,2039
02039.png,399,486,200,174,0.875,7,truck,2039
02040.png,551,437,46,30,0.864746,2,car,2040
02040.png,640,720,1276,228,0.695312,2,car,2040
02040.png,600,425,20,15,0.694336,2,car,2040
02040.png,625.5,430,25,16,0.607422,2,car,2040
02040.png,1043,431,142,53,0.878418,5,bus,2040
02040.png,398,486,200,174,0.880859,7,truck,2040
02041.png,553,437,44,30,0.884277,2,car,2041
02041.png,600,424,20,15,0.736328,2,car,2041
02041.png,640,720,1280,215,0.604004,2,car,2041
02041.png,625.5,430,25,21,0.595703,2,car,2041
02041.png,1045.5,430,133,54,0.856445,5,bus,2041
02041.png,399,485,200,173,0.871582,7,truck,2041
02042.png,553,437,44,30,0.871094,2,car,2042
02042.png,600.5,425,21,15,0.671387,2,car,2042
02042.png,625.5,431,25,19,0.636719,2,car,2042
02042.png,1045,431,130,55,0.816406,5,bus,2042
02042.png,398.5,486,201,174,0.874023,7,truck,2042
02042.png,1231,440,94,59,0.513672,7,truck,2042
02043.png,552.5,437,45,30,0.867676,2,car,2043
02043.png,600,424,20,15,0.699219,2,car,2043
02043.png,625.5,430,25,16,0.633789,2,car,2043
02043.png,1053,430,146,56,0.856445,5,bus,2043
02043.png,399,485,200,173,0.866699,7,truck,2043
02044.png,553,437,44,30,0.884766,2,car,2044
02044.png,640,719,1280,253,0.712891,2,car,2044
02044.png,600,424,20,16,0.695312,2,car,2044
02044.png,1233.5,439,91,42,0.6875,2,car,2044
02044.png,625.5,430,25,15,0.643066,2,car,2044
02044.png,1051,430,138,56,0.827637,5,bus,2044
02044.png,398,486,200,175,0.869141,7,truck,2044
02045.png,553,437,44,30,0.87207,2,car,2045
02045.png,600,425,20,15,0.689453,2,car,2045
02045.png,640,719,1280,242,0.645508,2,car,2045
02045.png,625.5,431,25,17,0.628418,2,car,2045
02045.png,1053,431,140,57,0.86377,5,bus,2045
02045.png,399,487,200,175,0.851074,7,truck,2045
02045.png,662,423,22,28,0.515137,7,truck,2045
02046.png,553,437,44,30,0.879883,2,car,2046
02046.png,601,424,20,15,0.70166,2,car,2046
02046.png,640,719,1280,230,0.661621,2,car,2046
02046.png,625,430,26,21,0.630859,2,car,2046
02046.png,1058.5,431,145,57,0.876953,5,bus,2046
02046.png,399,486,200,174,0.853516,7,truck,2046
02046.png,1243,411,74,34,0.519531,7,truck,2046
02047.png,552,437,46,30,0.869141,2,car,2047
02047.png,600,424,20,15,0.676758,2,car,2047
02047.png,625.5,430,25,16,0.657227,2,car,2047
02047.png,640,719,1278,220,0.567383,2,car,2047
02047.png,661.5,424,19,10,0.550781,2,car,2047
02047.png,1236,440,84,43,0.549805,2,car,2047
02047.png,1066,431,152,58,0.897461,5,bus,2047
02047.png,399,489,200,177,0.865234,7,truck,2047
02048.png,553,438,44,30,0.883301,2,car,2048
02048.png,600,425,20,15,0.678223,2,car,2048
02048.png,625,431,26,20,0.671875,2,car,2048
02048.png,640,718,1280,236,0.629883,2,car,2048
02048.png,1071,432,154,59,0.891602,5,bus,2048
02048.png,399,488,200,175,0.839355,7,truck,2048
02049.png,1155.5,422,11,25,0.516113,0,person,2049
02049.png,553,437,44,30,0.881348,2,car,2049
02049.png,601,424,20,15,0.681641,2,car,2049
02049.png,625.5,430,25,15,0.679199,2,car,2049
02049.png,1068,430,144,58,0.888184,5,bus,2049
02049.png,399.5,489,199,177,0.867676,7,truck,2049
02050.png,553.5,439,45,31,0.868164,2,car,2050
02050.png,625,431,26,19,0.693848,2,car,2050
02050.png,601,425,20,15,0.672363,2,car,2050
02050.png,640,719,1280,248,0.660156,2,car,2050
02050.png,1073.5,432,153,59,0.874023,5,bus,2050
02050.png,399.5,488,199,176,0.828125,7,truck,2050
02050.png,663,424,22,28,0.50293,7,truck,2050
02051.png,553,438,44,30,0.889648,2,car,2051
02051.png,625,432,26,21,0.703125,2,car,2051
02051.png,600,426,20,15,0.691895,2,car,2051
02051.png,640,720,1278,237,0.64502,2,car,2051
02051.png,1078.5,432,165,59,0.875977,5,bus,2051
02051.png,399.5,488,199,175,0.845703,7,truck,2051
02051.png,663.5,425,23,29,0.603027,7,truck,2051
02051.png,1243.5,444,71,48,0.510254,7,truck,2051
02052.png,553,437,44,30,0.889648,2,car,2052
02052.png,601,425,20,15,0.701172,2,car,2052
02052.png,625,430,24,15,0.686523,2,car,2052
02052.png,640,720,1276,235,0.542969,2,car,2052
02052.png,1246,448,68,53,0.508789,2,car,2052
02052.png,1081.5,431,151,60,0.860352,5,bus,2052
02052.png,399,488,200,176,0.859863,7,truck,2052
02052.png,662,424,22,28,0.625977,7,truck,2052
02053.png,553,438,44,30,0.89209,2,car,2053
02053.png,600,426,20,15,0.710449,2,car,2053
02053.png,625,432,26,21,0.70166,2,car,2053
02053.png,1086,433,160,63,0.829102,5,bus,2053
02053.png,399,491,204,179,0.858398,7,truck,2053
02054.png,553,439,44,31,0.891602,2,car,2054
02054.png,601,426,20,15,0.73584,2,car,2054
02054.png,625.5,432,25,20,0.655273,2,car,2054
02054.png,1088.5,433,161,62,0.852539,5,bus,2054
02054.png,399.5,492,205,179,0.857422,7,truck,2054
02055.png,553,439,44,31,0.873047,2,car,2055
02055.png,601,426,20,15,0.794434,2,car,2055
02055.png,625,431,26,21,0.687012,2,car,2055
02055.png,1250,438,60,44,0.64209,2,car,2055
02055.png,641,720,1276,243,0.522461,2,car,2055
02055.png,1098.5,432,163,62,0.866211,5,bus,2055
02055.png,399.5,492,201,179,0.90332,7,truck,2055
02056.png,1185.5,425,11,28,0.65625,0,person,2056
02056.png,553.5,440,45,31,0.878906,2,car,2056
02056.png,602,427,20,15,0.793457,2,car,2056
02056.png,625,432,26,21,0.669434,2,car,2056
02056.png,1251,439,58,46,0.630859,2,car,2056
02056.png,1103.5,433,165,63,0.893066,5,bus,2056
02056.png,399,492,202,178,0.898926,7,truck,2056
02057.png,1190,426,12,29,0.63623,0,person,2057
02057.png,554,440,44,31,0.869141,2,car,2057
02057.png,602,426,20,15,0.735352,2,car,2057
02057.png,625.5,431,25,16,0.626953,2,car,2057
02057.png,1251,441,56,48,0.580078,2,car,2057
02057.png,1105.5,433,161,63,0.846191,5,bus,2057
02057.png,399,491,202,178,0.895508,7,truck,2057
02058.png,554,441,44,31,0.883301,2,car,2058
02058.png,602,427,20,15,0.76416,2,car,2058
02058.png,625.5,432,25,19,0.667969,2,car,2058
02058.png,1253.5,444,53,51,0.634277,2,car,2058
02058.png,1106,433,162,65,0.854004,5,bus,2058
02058.png,399,492,202,178,0.89209,7,truck,2058
02059.png,554,441,44,31,0.885254,2,car,2059
02059.png,602,427,20,15,0.765137,2,car,2059
02059.png,625.5,431,25,18,0.675781,2,car,2059
02059.png,1255,444,50,51,0.661133,2,car,2059
02059.png,1113.5,438,169,81,0.76416,5,bus,2059
02059.png,399.5,492,203,178,0.900391,7,truck,2059
02060.png,554,441,44,31,0.888184,2,car,2060
02060.png,602,427,20,15,0.758301,2,car,2060
02060.png,626.5,431,25,18,0.677246,2,car,2060
02060.png,1256.5,445,47,53,0.556152,2,car,2060
02060.png,1111,437,168,69,0.857422,5,bus,2060
02060.png,398,492,202,177,0.88916,7,truck,2060
02061.png,554,441,44,31,0.896484,2,car,2061
02061.png,602,427,20,15,0.75293,2,car,2061
02061.png,626.5,432,25,20,0.651855,2,car,2061
02061.png,1256,445,44,53,0.592285,2,car,2061
02061.png,1118.5,434,177,65,0.887207,5,bus,2061
02061.png,399.5,492,203,178,0.879883,7,truck,2061
02062.png,554,440,44,31,0.897461,2,car,2062
02062.png,603.5,427,21,15,0.779297,2,car,2062
02062.png,626.5,432,25,18,0.673828,2,car,2062
02062.png,1260,444,40,52,0.649414,2,car,2062
02062.png,1121.5,435,175,68,0.849121,5,bus,2062
02062.png,399.5,492,203,178,0.878418,7,truck,2062
02063.png,1218.5,423,11,28,0.613281,0,person,2063
02063.png,554,441,44,31,0.894043,2,car,2063
02063.png,602,427,20,15,0.803711,2,car,2063
02063.png,1263,444,34,51,0.696289,2,car,2063
02063.png,626.5,432,25,18,0.663574,2,car,2063
02063.png,639,720,1278,230,0.533691,2,car,2063
02063.png,1123,433,176,65,0.840332,5,bus,2063
02063.png,398,493,202,179,0.856934,7,truck,2063
02064.png,554,440,44,31,0.897461,2,car,2064
02064.png,603,427,20,15,0.794434,2,car,2064
02064.png,1261.5,443,37,47,0.783691,2,car,2064
02064.png,626,432,24,17,0.68457,2,car,2064
02064.png,1128,433,182,65,0.849609,5,bus,2064
02064.png,399,492,204,180,0.85791,7,truck,2064
02065.png,1228.5,423,11,27,0.53418,0,person,2065
02065.png,554,440,44,31,0.898438,2,car,2065
02065.png,603.5,427,21,15,0.818359,2,car,2065
02065.png,626.5,432,25,20,0.683105,2,car,2065
02065.png,1131.5,431,183,64,0.833984,5,bus,2065
02065.png,398.5,492,205,180,0.850586,7,truck,2065
02066.png,1233,425,12,29,0.523438,0,person,2066
02066.png,554.5,440,45,31,0.898438,2,car,2066
02066.png,603.5,427,21,15,0.818359,2,car,2066
02066.png,626,432,24,17,0.678223,2,car,2066
02066.png,1265.5,446,29,49,0.577637,2,car,2066
02066.png,663.5,426,17,9,0.507812,2,car,2066
02066.png,1135.5,433,179,68,0.828125,5,bus,2066
02066.png,399,493,204,181,0.833984,7,truck,2066
02067.png,554,440,44,31,0.896484,2,car,2067
02067.png,603,426,20,15,0.782227,2,car,2067
02067.png,626.5,431,25,20,0.671387,2,car,2067
02067.png,639,719,1278,235,0.599121,2,car,2067
02067.png,1266,440,26,45,0.506348,2,car,2067
02067.png,1138.5,434,193,69,0.84082,5,bus,2067
02067.png,399,493,204,181,0.858398,7,truck,2067
02068.png,554,439,44,30,0.897949,2,car,2068
02068.png,603,426,20,15,0.789551,2,car,2068
02068.png,626,431,24,14,0.689941,2,car,2068
02068.png,1146.5,433,185,70,0.776367,5,bus,2068
02068.png,399,493,204,181,0.861816,7,truck,2068
02069.png,1250,424,12,31,0.595215,0,person,2069
02069.png,554,438,44,30,0.900879,2,car,2069
02069.png,603,426,20,15,0.782227,2,car,2069
02069.png,626,431,24,14,0.702148,2,car,2069
02069.png,640,719,1280,233,0.663574,2,car,2069
02069.png,1146.5,433,193,72,0.792969,5,bus,2069
02069.png,399,493,204,181,0.858398,7,truck,2069
02070.png,1255.5,422,11,28,0.541504,0,person,2070
02070.png,554,439,44,31,0.898438,2,car,2070
02070.png,603.5,426,21,15,0.790039,2,car,2070
02070.png,626.5,431,25,18,0.672363,2,car,2070
02070.png,639,720,1278,231,0.532227,2,car,2070
02070.png,1153.5,434,193,71,0.768066,5,bus,2070
02070.png,399,492,204,181,0.854004,7,truck,2070
02071.png,1260.5,422,13,28,0.551758,0,person,2071
02071.png,555,439,44,31,0.890625,2,car,2071
02071.png,603,426,20,15,0.777344,2,car,2071
02071.png,626,430,24,14,0.70459,2,car,2071
02071.png,663,426,18,9,0.543457,2,car,2071
02071.png,1158.5,434,199,74,0.691406,5,bus,2071
02071.png,399,492,204,181,0.855469,7,truck,2071
02072.png,555,439,44,31,0.885742,2,car,2072
02072.png,603,426,20,15,0.77832,2,car,2072
02072.png,626,430,24,14,0.716309,2,car,2072
02072.png,663.5,426,17,9,0.52832,2,car,2072
02072.png,1173,435,208,97,0.806641,5,bus,2072
02072.png,399.5,492,205,181,0.857422,7,truck,2072
02073.png,555,439,44,31,0.885742,2,car,2073
02073.png,604,426,20,15,0.717285,2,car,2073
02073.png,627,430,24,14,0.712402,2,car,2073
02073.png,663,426,18,9,0.519531,2,car,2073
02073.png,1170,434,198,74,0.846191,5,bus,2073
02073.png,399,492,204,181,0.856934,7,truck,2073
02074.png,555,439,44,31,0.891602,2,car,2074
02074.png,604,426,20,15,0.741699,2,car,2074
02074.png,627,430,24,14,0.703125,2,car,2074
02074.png,663,425,18,9,0.534668,2,car,2074
02074.png,1171.5,433,197,73,0.834961,5,bus,2074
02074.png,399.5,491,205,180,0.853516,7,truck,2074
02075.png,554,439,44,31,0.892578,2,car,2075
02075.png,604,426,20,15,0.73291,2,car,2075
02075.png,627,430,24,14,0.694336,2,car,2075
02075.png,663,425,18,9,0.540039,2,car,2075
02075.png,1176.5,438,203,95,0.796387,5,bus,2075
02075.png,398.5,489,201,178,0.841797,7,truck,2075
